文件,wenjian/File
编辑,bianji/Edit
视图,shitu/View
工具,gongju/Tools
帮助,bangzhu/Help
保存,baocun/Save
打开,dakai/Open
打印,dayin/Print
导出,daochu/Export
导入,daoru/Import
设置,shezhi/Settings
偏好设置,pianhaoshezhi/Preferences
账号,zhanghao/Account
个人资料,gerenziliao/Profile
刷新,shuaxin/Refresh
返回,fanhui/Back
前进,qianjin/Forward
主页,zhuye/Home
书签,shuqian/Bookmark
历史记录,lishijilu/History
标签页,biaoqianye/Tab
窗口,chuangkou/Window
下载,xiazai/Download
上传,shangchuan/Upload
同步,tongbu/Sync
云端,yunduan/Cloud
密码,mima/Password
用户名,yonghuming/Username
登录,denglu/Login
登出,dengchu/Logout
注册,zhuce/Sign up
搜索,sousuo/Search
筛选,shaixuan/Filter
排序,paixu/Sort
分类,fenlei/Category
链接,lianjie/Link
网址,wangzhi/URL / Web address
域名,yuming/Domain
服务器,fuwuqi/Server
浏览器,liulanqi/Browser
应用,yingyong/App
软件,ruanjian/Software
更新,gengxin/Update
版本,banben/Version
点击,dianji/Click
双击,shuangji/Double click
右击,youji/Right click
滚动,gundong/Scroll
拖拽,tuozhuai/Drag
复制,fuzhi/Copy
粘贴,zhantie/Paste
剪切,jianqie/Cut
删除,shanchu/Delete
撤销,chexiao/Undo
重做,chongzuo/Redo
附件,fujian/Attachment
电子邮件,dianziyoujian/Email
消息,xiaoxi/Message
通知,tongzhi/Notification
无线网络,wuxianwangluo/Wi-Fi
蓝牙,lanya/Bluetooth
网络,wangluo/Network
在线,zaixian/Online
离线,lixian/Offline
错误,cuowu/Error
警告,jinggao/Warning
成功,chenggong/Success
加载中,jiazhaizhong/Loading
取消,quxiao/Cancel
提交,tijiao/Submit
确认,queren/Confirm
重置,chongzhi/Reset
默认,moren/Default
屏幕,pingmu/Screen
分辨率,fenbianlv/Resolution
显示,xianshi/Display
主题,zhuti/Theme
深色模式,shensemoshi/Dark mode
字体,ziti/Font
字号,zihao/Size
颜色,yanse/Color
样式,yangshi/Style
桌面,zhuomian/Desktop
文件夹,wenjianjia/Folder
快捷方式,kuaijiefangshi/Shortcut
回收站,huishouzhan/Trash / Bin
硬件,yingjian/Hardware
处理器,chuliqi/CPU / Processor
内存,neicun/RAM / Memory
硬盘,yingpan/Disk / Hard drive
笔记本电脑,bijibendiannao/Laptop
键盘,jianpan/Keyboard
鼠标,shubiao/Mouse
显示器,xianshiqi/Monitor
摄像头,shexiangtou/Camera
麦克风,maikefeng/Microphone
扬声器,yangshengqi/Speaker
耳机,erji/Headphones
电池,dianchi/Battery
电源,dianyuan/Power
睡眠,shuimian/Sleep
重启,zhongqi/Restart
关机,guanji/Shutdown
防火墙,fanghuoqiang/Firewall
病毒,bingdu/Virus
安全,anquan/Security
隐私,yinsi/Privacy
缓存,huancun/Cache
数据,shuju/Data
数据库,shujuku/Database
代码,daima/Code
漏洞,loudong/Bug / Vulnerability
修复,xiufu/Fix
功能,gongneng/Feature
开发者,kaifazhe/Developer
用户,yonghu/User
管理员,guanliyuan/Admin
访客,fangke/Guest
支持,zhichi/Support
反馈,fankui/Feedback
