学习,xuexi/Study
大学,daxue/University
现在,xianzai/Present / Currently
年龄,nianling/Age
出生,chusheng/Born
国家,guojia/Country
性别,xingbie/Gender
城市,chengshi/City
住在,zhuzai/Live in
地址,dizhi/Address
毕业,biye/Graduate
家乡,jiaxiang/Hometown
专业,zhuanye/Major
梦想,mengxiang/Dream
语言,yuyan/Language
会说,huishuo/Can speak
一点,yidian/A little
性格,xingge/Personality
介绍,jieshao/Introduce
家庭,jiating/Family
优点,youdian/Strength
缺点,quedian/Weakness
上,shang/Above / On
下,xia/Below / Under
左边,zuobian/Left side
右边,youbian/Right side
前面,qianmian/In front
后面,houmian/Behind
旁边,pangbian/Beside
中间,zhongjian/In the middle
对面,duimian/Opposite
附近,fujin/Nearby
远,yuan/Far
近,jin/Near
到,dao/Arrive
出口,chukou/Exit
入口,rukou/Entrance
花店,huadian/Flower shop
药店,yaodian/Pharmacy
理发店,lifadian/Barber shop
电影院,dianyingyuan/Cinema
动物园,dongwuyuan/Zoo
洗衣店,xiyidian/Laundry
停车场,tingchechang/Parking lot
游泳池,youyongchi/Swimming pool
体育场,tiyuchang/Stadium
公共汽车站,gonggongqichezhan/Bus stop
地铁站,ditiezhan/Subway station
火车站,huochezhan/Train station
机场,jichang/Airport
市场,shichang/Market
超市,chaoshi/Supermarket
工厂,gongchang/Factory
寺庙,simiao/Temple
书店,shudian/Bookstore
咖啡馆,kafeiguan/Café
饭馆,fanguan/Eatery
公园,gongyuan/Park
博物馆,bowuguan/Museum
图书馆,tushuguan/Library
体育馆,tiyuguan/Gymnasium
洗手间,xishoujian/Restroom
游乐场,youlechang/Playground
楼梯,louti/Stairs
地下室,dixiashi/Basement
马路,malu/Main road
人行道,renxingdao/Sidewalk
方向,fangxiang/Direction
山,shan/Mountain
河,he/River
湖,hu/Lake
海,hai/Sea
宿舍,sushe/Dormitory
房子,fangzi/House
别墅,bieshu/Villa
海关,haiguan/Customs
办公室,bangongshi/Office
学校,xuexiao/School
医院,yiyuan/Hospital
教堂,jiaotang/Church
派出所,paichusuo/Police station
法院,fayuan/Court
阳台,yangtai/Balcony
面包店,mianbaodian/Bakery
美容院,meirongyuan/Beauty salon
律师事务所,lvshishiwusuo/Law firm
医生,yisheng/Doctor
护士,hushi/Nurse
理发师,lifashi/Hairdresser
牙医,yayi/Dentist
老师,laoshi/Teacher
学生,xuesheng/Student
校长,xiaozhang/Principal
工人,gongren/Worker
建筑师,jianzhushi/Architect
工程师,gongchengshi/Engineer
电工,diangong/Electrician
水管工,shuiguangong/Plumber
司机,siji/Driver
心理医生,xinliyisheng/Psychologist
采购员,caigouyuan/Purchasing officer
飞行员,feixingyuan/Pilot
商量,shangliang/Discuss
秘书,mishu/Secretary
